0.85,0.97,0.95,0.95,0.73,0.96,0.71,0.81,2.0
0.78,0.94,0.92,0.92,0.67,0.94,0.65,0.69,2.0
0.62,0.95,0.92,0.93,0.71,0.94,0.73,0.58,2.0
0.56,0.95,0.93,0.94,0.67,0.95,0.69,0.62,1.95
0.8,0.98,0.96,0.97,0.66,0.98,0.69,0.79,1.95
0.24,0.86,0.81,0.82,0.54,0.85,0.6,0.32,1.95
0.8,0.95,0.93,0.93,0.73,0.95,0.75,0.8,1.9
0.73,0.93,0.9,0.91,0.61,0.93,0.69,0.65,1.9
0.41,0.87,0.81,0.8,0.66,0.87,0.64,0.44,1.9
0.72,0.95,0.92,0.93,0.67,0.94,0.68,0.7,1.9
0.75,0.94,0.93,0.93,0.73,0.94,0.77,0.78,1.9
0.86,0.96,0.94,0.94,0.62,0.96,0.63,0.81,1.85
0.39,0.87,0.82,0.82,0.61,0.86,0.62,0.44,1.85
0.6,0.92,0.88,0.87,0.72,0.93,0.8,0.72,1.8
0.68,0.9,0.87,0.87,0.68,0.9,0.74,0.66,1.8
0.9,0.99,0.99,0.99,0.81,0.99,0.83,0.94,1.8
0.85,0.96,0.95,0.95,0.67,0.95,0.67,0.77,1.75
0.24,0.76,0.71,0.7,0.6,0.76,0.58,0.32,1.75
0.58,0.96,0.93,0.94,0.67,0.95,0.75,0.67,1.7
0.72,0.94,0.91,0.91,0.69,0.93,0.72,0.66,1.7
0.65,0.95,0.92,0.92,0.45,0.94,0.57,0.68,1.65
0.58,0.94,0.91,0.92,0.5,0.93,0.6,0.65,1.65
0.67,0.95,0.93,0.93,0.75,0.95,0.72,0.61,1.65
0.52,0.96,0.95,0.96,0.89,0.96,0.85,0.71,1.65
0.63,0.87,0.8,0.79,0.83,0.87,0.76,0.62,1.6
0.6,0.94,0.9,0.9,0.64,0.94,0.64,0.65,1.55
0.68,0.95,0.92,0.93,0.61,0.94,0.68,0.67,1.5
0.53,0.94,0.91,0.92,0.67,0.94,0.76,0.63,1.5
0.34,0.78,0.74,0.73,0.56,0.77,0.54,0.4,1.5
0.78,0.97,0.95,0.95,0.7,0.97,0.78,0.75,1.5
0.57,0.89,0.81,0.82,0.68,0.89,0.61,0.59,1.45
0.39,0.79,0.78,0.76,0.59,0.8,0.61,0.41,1.45
0.32,0.76,0.73,0.73,0.63,0.75,0.59,0.35,1.45
0.73,0.95,0.93,0.93,0.7,0.95,0.73,0.72,1.45
0.67,0.92,0.89,0.89,0.76,0.91,0.8,0.65,1.45
0.66,0.95,0.92,0.93,0.55,0.94,0.61,0.68,1.45
0.5,0.88,0.79,0.79,0.7,0.88,0.66,0.55,1.4
0.51,0.91,0.88,0.89,0.5,0.91,0.62,0.53,1.4
0.26,0.67,0.64,0.61,0.62,0.67,0.57,0.21,1.4
0.65,0.88,0.84,0.84,0.68,0.88,0.64,0.63,1.4
0.57,0.91,0.85,0.85,0.71,0.91,0.68,0.66,1.35
0.27,0.76,0.71,0.71,0.61,0.75,0.66,0.35,1.35
0.73,0.95,0.92,0.93,0.7,0.95,0.71,0.74,1.35
0.6,0.93,0.89,0.87,0.71,0.93,0.77,0.68,1.3
0.5,0.91,0.84,0.84,0.69,0.91,0.72,0.61,1.3
0.77,0.96,0.96,0.96,0.74,0.96,0.71,0.78,1.3
0.35,0.88,0.82,0.8,0.57,0.89,0.68,0.45,1.25
0.34,0.78,0.74,0.73,0.52,0.77,0.5,0.39,1.25
0.68,0.95,0.93,0.94,0.65,0.95,0.71,0.66,1.25
0.59,0.91,0.86,0.86,0.76,0.92,0.82,0.72,1.25
0.65,0.94,0.91,0.92,0.59,0.94,0.64,0.66,1.25
0.92,0.99,0.99,0.99,0.95,0.99,0.97,0.94,1.25
0.64,0.93,0.9,0.92,0.63,0.92,0.73,0.63,1.2
0.78,0.96,0.94,0.94,0.72,0.95,0.71,0.74,1.2
0.34,0.78,0.73,0.73,0.57,0.77,0.63,0.35,1.2
0.2,0.79,0.75,0.74,0.58,0.79,0.58,0.37,1.2
0.28,0.77,0.73,0.73,0.49,0.75,0.54,0.35,1.2
0.65,0.94,0.92,0.93,0.46,0.94,0.54,0.68,1.2
0.65,0.91,0.88,0.88,0.58,0.9,0.64,0.58,1.15
0.35,0.9,0.83,0.85,0.56,0.89,0.69,0.53,1.15
0.54,0.93,0.91,0.92,0.51,0.92,0.55,0.6,1.15
0.7,0.93,0.88,0.89,0.78,0.92,0.79,0.62,1.15
0.54,0.87,0.81,0.81,0.59,0.87,0.63,0.54,1.1
0.6,0.93,0.89,0.9,0.62,0.92,0.56,0.56,1.1
0.56,0.91,0.86,0.86,0.75,0.91,0.72,0.61,1.1
0.75,0.95,0.92,0.93,0.74,0.95,0.76,0.74,1.1
0.57,0.91,0.86,0.86,0.59,0.91,0.65,0.62,1.1
0.32,0.75,0.73,0.72,0.57,0.75,0.63,0.38,1.05
0.46,0.89,0.83,0.84,0.69,0.88,0.65,0.52,1.05
0.56,0.93,0.89,0.9,0.55,0.92,0.54,0.66,1.05
0.6,0.92,0.89,0.88,0.73,0.92,0.74,0.55,1.05
0.25,0.85,0.8,0.8,0.67,0.84,0.62,0.33,1.05
0.49,0.89,0.84,0.84,0.73,0.89,0.73,0.52,1.05
0.38,0.82,0.74,0.74,0.59,0.81,0.62,0.34,1.05
0.79,0.97,0.95,0.96,0.7,0.97,0.76,0.77,1.05
0.71,0.94,0.91,0.91,0.65,0.94,0.68,0.72,1.05
0.6,0.88,0.86,0.87,0.65,0.87,0.58,0.63,1.05
0.18,0.68,0.69,0.61,0.66,0.75,0.66,0.33,1.05
0.62,0.89,0.83,0.84,0.65,0.89,0.65,0.6,1.05
0.56,0.93,0.9,0.91,0.5,0.92,0.47,0.63,1.0
0.42,0.83,0.76,0.76,0.57,0.82,0.59,0.41,1.0
0.42,0.87,0.79,0.79,0.59,0.87,0.68,0.56,1.0
0.66,0.9,0.85,0.85,0.69,0.9,0.67,0.66,1.0
0.45,0.92,0.87,0.88,0.57,0.91,0.61,0.59,1.0
0.46,0.89,0.83,0.84,0.52,0.88,0.52,0.55,1.0
0.19,0.82,0.76,0.76,0.59,0.82,0.6,0.36,0.95
0.49,0.9,0.84,0.84,0.63,0.9,0.66,0.5,0.95
0.31,0.79,0.75,0.75,0.67,0.79,0.73,0.4,0.95
0.58,0.9,0.84,0.85,0.56,0.89,0.52,0.55,0.95
0.32,0.88,0.82,0.83,0.7,0.87,0.69,0.44,0.95
0.69,0.93,0.88,0.88,0.79,0.92,0.8,0.61,0.95
0.71,0.93,0.91,0.92,0.69,0.93,0.72,0.64,0.9
0.25,0.79,0.74,0.75,0.42,0.78,0.48,0.39,0.9
0.34,0.8,0.75,0.75,0.46,0.79,0.57,0.42,0.9
0.34,0.76,0.73,0.72,0.48,0.76,0.55,0.36,0.9
0.15,0.82,0.74,0.74,0.63,0.81,0.61,0.25,0.9
0.49,0.89,0.83,0.85,0.44,0.87,0.51,0.54,0.9
0.67,0.92,0.89,0.89,0.69,0.91,0.61,0.66,0.9
0.38,0.83,0.73,0.75,0.57,0.81,0.57,0.44,0.9
0.37,0.82,0.74,0.74,0.7,0.81,0.62,0.35,0.85
0.34,0.86,0.78,0.79,0.62,0.86,0.62,0.5,0.85
0.6,0.91,0.88,0.89,0.64,0.91,0.75,0.59,0.85
0.26,0.84,0.76,0.77,0.64,0.83,0.64,0.33,0.85
0.55,0.85,0.8,0.81,0.67,0.84,0.69,0.53,0.85
0.46,0.91,0.85,0.85,0.73,0.9,0.69,0.5,0.85
0.71,0.95,0.92,0.92,0.75,0.94,0.74,0.7,0.85
0.6,0.92,0.88,0.87,0.62,0.92,0.67,0.63,0.85
0.47,0.82,0.74,0.74,0.66,0.82,0.53,0.47,0.8
0.38,0.88,0.79,0.81,0.57,0.87,0.61,0.51,0.8
0.51,0.89,0.82,0.83,0.59,0.88,0.6,0.55,0.8
0.47,0.92,0.85,0.87,0.59,0.91,0.56,0.62,0.8
0.57,0.89,0.84,0.85,0.67,0.89,0.59,0.58,0.8
0.56,0.92,0.9,0.91,0.58,0.92,0.69,0.61,0.8
0.45,0.87,0.78,0.79,0.53,0.86,0.57,0.57,0.75
0.55,0.88,0.86,0.87,0.69,0.88,0.73,0.47,0.75
0.36,0.78,0.74,0.73,0.71,0.79,0.64,0.4,0.75
0.31,0.75,0.69,0.68,0.52,0.75,0.55,0.38,0.75
0.29,0.82,0.72,0.73,0.53,0.81,0.6,0.33,0.75
0.45,0.9,0.81,0.82,0.64,0.89,0.67,0.5,0.75
0.48,0.94,0.88,0.89,0.67,0.93,0.73,0.69,0.75
0.21,0.8,0.75,0.76,0.61,0.79,0.63,0.24,0.75
0.22,0.83,0.74,0.75,0.52,0.82,0.62,0.39,0.75
0.3,0.81,0.75,0.75,0.56,0.8,0.62,0.37,0.75
0.61,0.9,0.86,0.86,0.65,0.9,0.69,0.63,0.75
0.64,0.91,0.87,0.88,0.5,0.91,0.67,0.65,0.7
0.65,0.93,0.92,0.92,0.67,0.93,0.65,0.68,0.7
0.61,0.92,0.89,0.9,0.7,0.92,0.73,0.6,0.7
0.67,0.95,0.93,0.93,0.66,0.95,0.66,0.62,0.7
0.8,0.95,0.93,0.94,0.72,0.95,0.71,0.72,0.7
0.74,0.9,0.86,0.87,0.71,0.9,0.69,0.62,0.7
0.2,0.81,0.75,0.76,0.54,0.81,0.6,0.35,0.7
0.4,0.79,0.73,0.73,0.62,0.79,0.61,0.39,0.7
0.25,0.82,0.72,0.74,0.41,0.81,0.57,0.42,0.7
0.39,0.83,0.74,0.76,0.56,0.82,0.65,0.43,0.7
0.53,0.92,0.86,0.87,0.66,0.91,0.64,0.53,0.7
0.58,0.93,0.87,0.87,0.65,0.92,0.64,0.7,0.7
0.59,0.9,0.86,0.86,0.64,0.9,0.7,0.62,0.7
0.53,0.91,0.87,0.87,0.65,0.9,0.73,0.52,0.7
0.73,0.95,0.94,0.94,0.83,0.95,0.83,0.76,0.65
0.34,0.82,0.72,0.72,0.72,0.82,0.79,0.44,0.65
0.38,0.88,0.79,0.8,0.54,0.87,0.55,0.52,0.65
0.5,0.92,0.87,0.88,0.53,0.91,0.61,0.64,0.65
0.34,0.87,0.75,0.75,0.69,0.87,0.75,0.59,0.65
0.18,0.85,0.72,0.74,0.59,0.85,0.59,0.34,0.65
0.34,0.84,0.73,0.75,0.58,0.82,0.61,0.39,0.65
0.59,0.9,0.86,0.87,0.49,0.9,0.63,0.63,0.65
0.36,0.81,0.73,0.73,0.61,0.81,0.55,0.37,0.65
0.42,0.83,0.78,0.8,0.61,0.82,0.7,0.43,0.65
0.3,0.81,0.72,0.72,0.64,0.8,0.61,0.25,0.65
0.13,0.81,0.74,0.74,0.62,0.8,0.66,0.35,0.65
0.27,0.81,0.75,0.72,0.59,0.82,0.66,0.36,0.65
0.39,0.84,0.76,0.76,0.57,0.83,0.53,0.41,0.6
0.45,0.8,0.78,0.78,0.72,0.8,0.78,0.51,0.6
0.6,0.92,0.89,0.9,0.74,0.91,0.75,0.61,0.6
0.54,0.9,0.83,0.83,0.72,0.89,0.7,0.6,0.6
0.41,0.81,0.73,0.72,0.67,0.81,0.61,0.4,0.6
0.31,0.88,0.82,0.81,0.63,0.89,0.65,0.42,0.6
0.64,0.92,0.89,0.89,0.68,0.92,0.7,0.65,0.6
0.61,0.9,0.87,0.87,0.76,0.9,0.74,0.65,0.6
0.53,0.86,0.81,0.82,0.68,0.85,0.72,0.53,0.6
0.53,0.9,0.86,0.86,0.65,0.9,0.69,0.58,0.6
0.58,0.92,0.89,0.9,0.59,0.92,0.61,0.55,0.6
0.53,0.91,0.89,0.9,0.75,0.91,0.73,0.63,0.6
0.37,0.92,0.88,0.89,0.62,0.92,0.72,0.57,0.6
0.52,0.92,0.88,0.89,0.72,0.91,0.69,0.62,0.6
0.55,0.91,0.87,0.88,0.55,0.91,0.6,0.61,0.6
0.22,0.87,0.83,0.83,0.63,0.87,0.69,0.28,0.6
0.62,0.91,0.88,0.88,0.57,0.9,0.63,0.64,0.6
0.41,0.86,0.83,0.83,0.63,0.86,0.72,0.47,0.6
0.31,0.84,0.78,0.79,0.55,0.82,0.6,0.33,0.6
0.55,0.9,0.83,0.84,0.68,0.89,0.67,0.55,0.6
0.28,0.78,0.65,0.65,0.61,0.77,0.56,0.33,0.6
0.66,0.91,0.88,0.88,0.71,0.91,0.74,0.71,0.6
0.24,0.79,0.67,0.68,0.5,0.78,0.61,0.29,0.55
0.31,0.81,0.73,0.74,0.62,0.81,0.69,0.33,0.55
0.21,0.79,0.73,0.74,0.61,0.77,0.63,0.33,0.55
0.55,0.86,0.79,0.8,0.53,0.85,0.57,0.52,0.55
0.65,0.93,0.92,0.92,0.62,0.93,0.68,0.68,0.55
0.58,0.94,0.93,0.94,0.62,0.94,0.7,0.74,0.55
0.55,0.89,0.85,0.86,0.51,0.88,0.57,0.64,0.55
0.34,0.88,0.83,0.83,0.76,0.87,0.72,0.34,0.55
0.67,0.94,0.92,0.92,0.77,0.94,0.88,0.73,0.55
0.47,0.93,0.87,0.88,0.52,0.92,0.56,0.68,0.55
0.44,0.84,0.79,0.8,0.63,0.83,0.65,0.46,0.55
0.44,0.84,0.77,0.76,0.63,0.83,0.57,0.44,0.5
0.17,0.8,0.73,0.74,0.51,0.79,0.51,0.32,0.5
0.29,0.86,0.75,0.76,0.67,0.85,0.69,0.33,0.5
0.59,0.92,0.9,0.9,0.75,0.92,0.71,0.62,0.5
0.13,0.79,0.73,0.74,0.5,0.78,0.53,0.19,0.5
0.43,0.86,0.79,0.8,0.62,0.86,0.62,0.54,0.5
0.47,0.85,0.78,0.77,0.55,0.84,0.56,0.5,0.5
0.68,0.96,0.94,0.94,0.75,0.95,0.73,0.64,0.5
0.56,0.89,0.83,0.84,0.61,0.88,0.62,0.58,0.5
0.58,0.91,0.86,0.86,0.59,0.91,0.7,0.66,0.5
0.52,0.88,0.79,0.8,0.6,0.87,0.58,0.59,0.5
0.35,0.81,0.74,0.74,0.66,0.81,0.62,0.36,0.5
0.47,0.89,0.84,0.85,0.68,0.89,0.68,0.61,0.5
0.48,0.88,0.82,0.83,0.53,0.87,0.61,0.56,0.5
0.45,0.86,0.76,0.76,0.52,0.86,0.51,0.58,0.45
0.56,0.92,0.89,0.9,0.55,0.92,0.6,0.66,0.45
0.56,0.89,0.83,0.84,0.45,0.88,0.59,0.67,0.45
0.21,0.81,0.74,0.74,0.61,0.81,0.6,0.36,0.45
0.48,0.92,0.86,0.87,0.62,0.91,0.67,0.6,0.45
0.52,0.89,0.85,0.85,0.68,0.88,0.73,0.53,0.45
0.68,0.92,0.91,0.91,0.65,0.92,0.71,0.63,0.45
0.56,0.92,0.88,0.9,0.51,0.91,0.59,0.66,0.45
0.58,0.91,0.88,0.89,0.68,0.9,0.75,0.62,0.45
0.18,0.77,0.68,0.69,0.5,0.77,0.53,0.32,0.45
0.35,0.79,0.7,0.69,0.64,0.8,0.63,0.49,0.45
0.34,0.8,0.7,0.69,0.69,0.8,0.7,0.46,0.45
0.46,0.86,0.83,0.82,0.69,0.86,0.63,0.48,0.45
0.54,0.91,0.87,0.88,0.63,0.9,0.66,0.58,0.45
0.56,0.91,0.85,0.86,0.56,0.9,0.61,0.6,0.45
0.56,0.83,0.78,0.78,0.59,0.82,0.51,0.52,0.45
0.21,0.88,0.77,0.79,0.5,0.87,0.58,0.41,0.45
0.3,0.79,0.7,0.69,0.74,0.79,0.67,0.43,0.4
0.6,0.9,0.86,0.87,0.71,0.9,0.72,0.55,0.4
0.34,0.9,0.8,0.81,0.53,0.9,0.61,0.54,0.4
0.11,0.76,0.71,0.68,0.67,0.78,0.69,0.3,0.4
0.44,0.87,0.78,0.79,0.63,0.86,0.65,0.51,0.4
0.67,0.93,0.89,0.9,0.62,0.92,0.65,0.64,0.4
0.53,0.92,0.88,0.89,0.61,0.91,0.68,0.55,0.4
0.56,0.89,0.82,0.84,0.56,0.87,0.55,0.52,0.4
0.49,0.89,0.86,0.86,0.72,0.89,0.73,0.42,0.4
0.51,0.85,0.81,0.81,0.65,0.85,0.65,0.52,0.4
0.31,0.83,0.78,0.78,0.56,0.82,0.5,0.37,0.4
0.53,0.89,0.84,0.85,0.53,0.88,0.61,0.53,0.4
0.55,0.9,0.87,0.88,0.79,0.9,0.76,0.55,0.4
0.62,0.94,0.91,0.92,0.71,0.93,0.75,0.63,0.4
0.25,0.82,0.74,0.75,0.69,0.81,0.74,0.33,0.35
0.21,0.82,0.7,0.72,0.46,0.81,0.6,0.42,0.35
0.34,0.82,0.75,0.76,0.64,0.81,0.62,0.42,0.35
0.62,0.93,0.91,0.91,0.77,0.92,0.7,0.6,0.35
0.49,0.89,0.83,0.84,0.57,0.88,0.61,0.57,0.35
0.46,0.91,0.85,0.86,0.58,0.9,0.67,0.52,0.35
0.47,0.94,0.91,0.92,0.66,0.93,0.74,0.57,0.35
0.48,0.87,0.81,0.82,0.63,0.86,0.58,0.5,0.35
0.52,0.96,0.92,0.93,0.66,0.96,0.74,0.68,0.35
0.15,0.73,0.64,0.62,0.67,0.72,0.7,0.22,0.3
0.47,0.86,0.77,0.78,0.55,0.85,0.56,0.57,0.3
0.66,0.91,0.88,0.88,0.65,0.9,0.71,0.61,0.3
0.58,0.89,0.87,0.88,0.66,0.89,0.69,0.6,0.3
0.54,0.87,0.84,0.85,0.61,0.87,0.66,0.56,0.3
0.33,0.81,0.71,0.72,0.58,0.81,0.66,0.46,0.3
0.19,0.76,0.68,0.68,0.57,0.76,0.6,0.3,0.3
0.38,0.92,0.86,0.87,0.57,0.91,0.62,0.5,0.3
0.5,0.85,0.8,0.8,0.61,0.85,0.69,0.48,0.3
0.26,0.83,0.73,0.74,0.52,0.82,0.49,0.43,0.3
0.28,0.81,0.74,0.74,0.68,0.81,0.76,0.46,0.3
0.24,0.8,0.69,0.69,0.81,0.8,0.76,0.35,0.3
0.38,0.78,0.68,0.66,0.66,0.8,0.7,0.52,0.3
0.1,0.8,0.67,0.67,0.6,0.8,0.63,0.22,0.3
0.52,0.92,0.88,0.88,0.72,0.91,0.69,0.48,0.3
0.51,0.88,0.83,0.84,0.76,0.87,0.77,0.52,0.3
0.32,0.89,0.82,0.83,0.52,0.88,0.56,0.52,0.3
0.53,0.86,0.8,0.82,0.46,0.85,0.56,0.58,0.3
0.35,0.8,0.71,0.72,0.52,0.8,0.57,0.47,0.3
0.45,0.91,0.83,0.83,0.56,0.91,0.6,0.67,0.3
0.58,0.9,0.89,0.89,0.74,0.9,0.73,0.55,0.25
0.4,0.91,0.83,0.84,0.61,0.9,0.68,0.57,0.25
0.48,0.88,0.83,0.84,0.61,0.87,0.64,0.5,0.25
0.16,0.83,0.73,0.74,0.65,0.84,0.61,0.39,0.25
0.3,0.82,0.73,0.72,0.61,0.82,0.66,0.45,0.25
0.31,0.85,0.78,0.78,0.59,0.85,0.61,0.36,0.25
0.36,0.8,0.76,0.75,0.69,0.8,0.72,0.41,0.25
0.27,0.82,0.76,0.76,0.55,0.81,0.52,0.43,0.25
0.21,0.78,0.62,0.63,0.5,0.77,0.58,0.29,0.25
0.54,0.89,0.85,0.86,0.6,0.88,0.59,0.61,0.25
0.35,0.83,0.77,0.77,0.71,0.83,0.71,0.47,0.25
0.23,0.84,0.72,0.73,0.54,0.83,0.56,0.32,0.25
0.26,0.8,0.69,0.7,0.55,0.79,0.59,0.34,0.25
0.28,0.82,0.69,0.7,0.55,0.8,0.61,0.28,0.25
0.44,0.8,0.7,0.69,0.65,0.8,0.52,0.42,0.25
0.44,0.89,0.78,0.79,0.54,0.89,0.59,0.68,0.25
0.41,0.9,0.82,0.83,0.59,0.89,0.67,0.56,0.2
0.3,0.89,0.79,0.8,0.62,0.89,0.64,0.49,0.2
0.11,0.77,0.72,0.71,0.64,0.78,0.71,0.41,0.2
0.17,0.83,0.76,0.74,0.64,0.83,0.64,0.44,0.2
